,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap,cluster,total_per_var
47,1999-05-01,0,38.725620514411105,23.377924653859207,-18.25,-31.5,0.9068837606140576,-10,0.593320518623755,-10,2,62.103545168270315
48,1999-06-01,0,38.68918742120739,23.41789873889591,-18.25,-32.0,0.9055476253898196,-10,0.6040896443953743,-10,2,62.10708616010331
49,1999-07-01,0,38.486691214401624,23.48035751119607,-18.75,-32.0,0.9019303475192184,-10,0.6170077471884103,-10,2,61.96704872559769
50,1999-08-01,0,38.34653315183088,23.983413650226723,-18.75,-32.0,0.9012089533517836,-10,0.6261434470780153,-10,2,62.329946802057606
51,1999-09-01,0,38.36622554599699,24.1312982013197,-18.75,-32.0,0.900170504796075,-10,0.6259502823463322,-10,2,62.49752374731669
52,1999-10-01,0,37.96106574362026,25.104469646375204,-18.75,-30.25,0.8915790416092884,-10,0.6128996833242808,-10,2,63.06553538999546
53,1999-11-01,0,40.00889952770086,24.660023749656204,-18.75,-33.0,0.8670805472867952,-10,0.5889743991186347,-10,2,64.66892327735707
54,1999-12-01,0,36.56378379625194,26.475530168571876,-18.75,-24.25,0.825598387174589,-10,0.5597944782402563,-10,2,63.03931396482382
55,2000-01-01,0,36.7994600508954,27.18330544823778,-18.75,-19.75,0.7763974795141221,-10,-0.6002338773644551,-18,2,63.98276549913318
56,2000-02-01,0,36.05368897954696,27.166737658195935,-18.25,-24.0,0.7266854568888897,-10,-0.6526771774584349,-18,2,63.2204266377429
57,2000-03-01,0,36.8774910261413,26.85396139855547,-18.25,-24.0,0.6898021843202796,-10,-0.651090741894871,-18,2,63.73145242469677
58,2000-04-01,0,36.712538644567374,26.89015450481356,-18.75,-22.75,0.667976616490412,-10,-0.601353161919066,-18,2,63.60269314938093
59,2000-05-01,0,36.50137246640677,27.498640704485016,-19.25,-22.5,0.6535572591834505,-10,0.5345934574643633,-10,2,64.00001317089179
60,2000-06-01,0,36.6719538234758,27.759446559989172,-19.25,-21.0,0.6425109885203782,-10,0.5688366311116649,-10,2,64.43140038346498
61,2000-07-01,0,36.533675688422086,27.881391984170527,-18.75,-21.5,0.6321755923557242,-10,0.5984453333153337,-10,2,64.41506767259261
62,2000-08-01,0,36.49514744785856,27.95265508516655,-18.75,-21.5,0.625926113673248,-10,0.6153519894224398,-10,2,64.44780253302511
